Categoria,Nota
10,0.0
31,0.0
30,0.06666666666666667
51,0.2
37,0.3333333333333333
35,1.5
48,1.5625
34,1.5625
36,1.5625
32,1.625
39,1.6875
43,1.75
50,1.8125
40,1.8125
38,1.8125
33,1.9375
49,2.0625
22,2.125
15,2.125
14,2.1875
45,2.1875
29,2.25
21,2.3125
46,2.3125
53,2.3125
17,2.3125
41,2.375
58,2.5625
20,2.5625
6,2.5625
42,2.625
26,2.6875
24,2.75
44,2.75
52,2.8125
25,2.8125
47,2.8125
28,2.875
23,2.9375
19,2.9375
9,3.0
57,3.0625
8,3.125
1,3.125
12,3.1875
13,3.25
54,3.25
7,3.3125
16,3.3125
18,3.3125
2,3.3125
55,3.375
4,3.4375
11,3.4375
3,3.5
27,3.5
5,3.5625
56,3.5625
